,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
556,67.01,67.12,65.2,65.59,5503391.0,65.7764,1623816000000,59833,,68.9952,63.48509999999997,57.52690000000003,44.153583755866606,0.35279887256990605
557,65.77,65.8,62.33,63.54,5749095.0,63.5806,1623902400000,65579,,69.07839999999999,63.40119999999996,57.423800000000035,48.525026056872925,0.5497290375024875
558,62.55,63.05,61.88,61.98,9665491.0,62.285,1623988800000,62527,,69.11999999999999,63.296699999999966,57.31175000000004,48.47948312555455,0.6871965711073216
559,63.14,63.9485,62.79,63.11,5346887.0,63.1785,1624248000000,55778,,69.12319999999998,63.18989999999997,57.20240000000004,52.11910292537219,0.8536777275104726
560,63.46,63.82,62.68,63.5,4107172.0,63.4834,1624334400000,42522,,69.01839999999999,63.09799999999996,57.07615000000004,54.53433117659887,0.9672056365557893
561,64.0,64.27,63.1,63.15,3330502.0,63.5644,1624420800000,33965,,68.8252,63.004499999999965,56.94770000000005,54.02139105751092,1.0430582675691937
562,63.78,63.83,62.76,63.11,4316379.0,63.1926,1624507200000,43690,,68.5556,62.922499999999964,56.82470000000005,59.01119168790385,1.1389565963525712
563,63.25,63.8698,63.11,63.29,4319892.0,63.4142,1624593600000,29868,,68.3032,62.80739999999996,56.69640000000004,60.10611628592839,1.1297365491436722
564,63.3,63.3,62.17,62.9,2762587.0,62.8707,1624852800000,34444,,68.0112,62.68339999999996,56.56565000000003,54.7088289332146,1.0770995209004184
565,63.28,63.81,62.58,62.98,2715770.0,63.0056,1624939200000,32533,,67.7592,62.57899999999997,56.44525000000003,61.50456773422321,1.1632668118204634
566,62.85,63.62,62.75,63.28,3407467.0,63.2469,1625025600000,32976,,67.4308,62.459199999999974,56.31535000000004,54.32352762567269,1.1076728186046694
567,64.22,64.42,63.42,63.5,3445344.0,63.7317,1625112000000,34728,,67.1784,62.33299999999998,56.19465000000004,55.48259423054665,1.2232212444477142
568,63.33,63.77,62.8,63.51,3238633.0,63.4866,1625198400000,31481,,66.86919999999999,62.18679999999998,56.073850000000036,59.98908105238758,1.328474380786318
569,63.4,63.45,61.405,61.93,3805514.0,61.9957,1625544000000,43996,,66.6792,62.04609999999998,55.95000000000004,58.15077171225636,1.3508378474470533
570,61.7,62.49,61.0937,62.25,3495580.0,61.9762,1625630400000,37717,,66.4168,61.91039999999998,55.817950000000025,60.640263933842355,1.4136968489311812
571,61.0,62.02,60.65,61.41,4338859.0,61.3733,1625716800000,42528,,66.21679999999999,61.75819999999998,55.68045000000003,58.29997634538584,1.4214376566591937
572,62.23,63.67,62.1,63.08,5205378.0,63.0686,1625803200000,50326,,66.0508,61.61279999999998,55.54625000000003,56.39398406710215,1.4839513762442493
573,62.56,63.6,61.975,63.22,3204859.0,63.0813,1626062400000,35602,,65.9032,61.478099999999976,55.41155000000003,57.63860398843492,1.6001932310419988
574,63.42,63.69,62.32,62.7,3172522.0,62.7611,1626148800000,33663,,65.7308,61.34009999999998,55.26925000000003,61.92734505578569,1.6957572968959767
575,62.94,63.645,62.17,62.32,2617809.0,62.5575,1626235200000,31751,,65.482,61.19149999999998,55.12690000000002,68.60187500459983,1.6932844166311156
576,61.8,62.72,61.69,61.91,2820529.0,62.0915,1626321600000,30431,,65.1972,61.03319999999998,54.98100000000002,65.9336409024693,1.5249894397602333
577,61.3,61.72,59.8,60.01,7118765.0,60.3261,1626408000000,62793,,64.9296,60.89149999999998,54.849450000000026,60.93914618144914,1.3979658228848706
578,58.14,58.48,57.055,57.79,8005157.0,57.6887,1626667200000,74126,,64.73400000000001,60.74899999999998,54.72215000000003,59.424003479374186,1.3936852671947122
579,58.14,59.19,57.6281,58.62,6885619.0,58.6091,1626753600000,63831,,64.5896,60.61129999999997,54.604150000000025,64.08888172918621,1.4168226631364718
580,59.52,60.05,59.055,59.73,7527080.0,59.6598,1626840000000,63269,,64.4308,60.46689999999998,54.47435000000003,64.86885224289779,1.3269824279473994
581,58.56,60.89,58.0,60.48,7243295.0,59.7218,1626926400000,68354,,64.26520000000001,60.31019999999999,54.344800000000035,66.32097530598807,1.176721146990488
582,60.84,61.28,59.8,60.11,4765830.0,60.1666,1627012800000,51379,,64.08760000000001,60.15979999999999,54.22130000000003,66.32097530598807,0.9362535317037839
583,60.2,62.04,60.2,62.01,6588959.0,61.3515,1627272000000,58561,,63.88360000000001,60.01369999999999,54.091300000000025,64.15615170742021,0.6157111786403462
584,61.51,62.42,60.86,61.95,3638846.0,61.8058,1627358400000,37175,,63.745200000000004,59.87959999999999,53.962450000000025,59.5516919965624,0.29639041267734
585,61.83,62.3,61.06,61.87,4168526.0,61.7552,1627444800000,47663,,63.65240000000001,59.76289999999999,53.84970000000003,54.6707626849628,0.07287350175470664
586,62.44,62.93,62.01,62.6,3708591.0,62.5253,1627531200000,40923,,63.63000000000001,59.64949999999999,53.746100000000034,47.441426239071106,-0.04343897003025177
587,62.49,63.225,61.665,62.16,4646993.0,62.1928,1627617600000,42487,,63.65960000000001,59.57499999999999,53.650250000000035,53.46689818299697,0.017463132819194982
588,62.3,63.59,61.19,61.22,3714490.0,61.9705,1627876800000,49205,,63.57880000000001,59.47039999999999,53.542150000000035,50.66986500869532,-0.06389401056667765
589,61.15,62.27,60.155,62.23,4819652.0,61.7092,1627963200000,46607,,63.47640000000001,59.36929999999998,53.43180000000004,48.121750647319466,-0.09044230615277371
590,61.74,62.2,60.98,60.99,3340099.0,61.3836,1628049600000,37613,,63.51080000000001,59.27809999999999,53.32235000000004,46.3678052203567,-0.05581206079317269
591,61.29,61.8,60.9,61.0,3037315.0,61.2069,1628136000000,30193,,63.57920000000001,59.18619999999999,53.20855000000004,46.02893212662068,0.0350187187137081
592,61.61,62.37,61.55,62.0,3142752.0,61.9924,1628222400000,31419,,63.68360000000001,59.11909999999999,53.09975000000004,41.53123448465785,0.15960609592120534
593,61.72,62.225,61.36,61.82,3178247.0,61.7793,1628481600000,28147,,63.886800000000015,59.07409999999999,53.00355000000004,55.75418187379069,0.4364488050708317
594,62.02,63.57,61.94,63.12,3559953.0,63.0485,1628568000000,36473,,63.82120000000002,59.003199999999985,52.89170000000004,45.288278644785294,0.38737969849350407
595,63.42,64.3,63.22,64.24,3583605.0,63.8576,1628654400000,35694,,63.83800000000002,58.93779999999999,52.78725000000005,56.20989957967494,0.5573696068476295
596,64.36,64.62,63.3032,64.01,3536077.0,63.909,1628740800000,35762,,63.82960000000002,58.83959999999998,52.66825000000005,57.01167625677499,0.5554677137745472
597,63.97,64.1,63.35,63.69,2385569.0,63.7486,1628827200000,26756,,63.81520000000001,58.74619999999998,52.54865000000005,56.52442769411709,0.5317243125972908
598,63.2,63.595,62.14,63.32,3163519.0,63.1101,1629086400000,32599,,63.796000000000014,58.65349999999999,52.43070000000005,55.10695166572662,0.5048849269114442
599,62.69,62.875,61.14,62.31,3974459.0,62.0117,1629172800000,39898,,63.71680000000001,58.55589999999998,52.30850000000005,50.91935334738641,0.49688433024462597
600,61.91,62.83,61.71,61.88,4573993.0,62.1793,1629259200000,41020,,63.722000000000016,58.462099999999985,52.19185000000005,53.3022492013711,0.5741361602408617
601,61.04,61.39,60.15,60.55,3981572.0,60.6895,1629345600000,42681,,63.68680000000002,58.343899999999984,52.065150000000045,50.382507515435805,0.6155137881961892
602,60.41,61.11,60.32,60.89,3203679.0,60.8279,1629432000000,34671,,63.609200000000016,58.22289999999998,51.95620000000005,50.60852608431001,0.7255555782308747
603,61.5,62.42,61.46,62.06,3440001.0,62.0515,1629691200000,33013,,63.57160000000002,58.11309999999999,51.84895000000005,54.22244798065055,0.8503644727372475
604,62.46,63.53,62.46,63.26,2896124.0,63.1682,1629777600000,32999,,63.521200000000015,58.00779999999999,51.737250000000046,57.109948047688775,0.9158425239400998
605,63.3,64.18,62.82,63.87,3246877.0,63.8254,1629864000000,30749,,63.39880000000002,57.88299999999998,51.62215000000005,57.07515142166211,0.9239858907635252
606,63.84,64.56,63.47,63.65,3618463.0,63.9836,1629950400000,42072,,63.18760000000002,57.71939999999998,51.50505000000005,57.118181313130584,0.9219581750979557
