Unnamed: 0,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
956.0,84.64,85.76,83.39,84.62,32934061.0,84.6256,1655438400000,155234,,83.91239999999995,83.97320000000012,81.84739999999994,48.89172275590838,-0.0774197476015814
957.0,86.05,88.36,85.27,88.03,11778626.0,87.4859,1655784000000,106104,,83.96879999999993,83.99090000000012,81.79419999999996,45.85603424058211,-0.0653038315365677
958.0,88.04,90.34,88.03,89.16,11937858.0,89.5486,1655870400000,109121,,83.96319999999993,84.00700000000013,81.74564999999996,47.21305586603544,0.0234012661542237
959.0,90.0,92.15,89.56,92.0,14718409.0,91.3753,1655956800000,127117,,83.89799999999993,84.00750000000012,81.70659999999995,45.886819700116405,0.098608117880957
960.0,93.25,93.79,91.7,93.13,25248424.0,92.9793,1656043200000,123191,,83.92559999999992,84.00610000000013,81.67114999999995,49.30261429186108,0.2267651087338862
961.0,93.2,95.72,93.05,94.41,11949014.0,94.5912,1656302400000,111540,,83.9367999999999,83.99610000000013,81.63099999999996,53.20547151817517,0.2872598118409399
962.0,94.11,94.33,91.47,91.89,13524022.0,92.4306,1656388800000,119717,,83.85559999999991,83.98380000000012,81.58429999999997,60.56876013183104,0.2544038174526264
963.0,92.31,92.98,91.8875,92.51,8657054.0,92.4268,1656475200000,101320,,83.74439999999991,83.94700000000012,81.52404999999996,59.22842767807981,0.033639929088622
964.0,91.65,92.9,90.91,91.17,18551430.0,91.5674,1656561600000,117773,,83.61959999999992,83.90960000000013,81.46544999999996,55.66650281162686,-0.2038243783009221
965.0,91.3,92.49,90.385,92.42,11413770.0,91.5497,1656648000000,99714,,83.55959999999992,83.8832000000001,81.40679999999996,43.87810053104143,-0.3899141033210185
966.0,92.44,92.95,90.53,92.64,9576118.0,92.0429,1656993600000,90967,,83.64599999999993,83.8756000000001,81.37029999999996,44.10340178781544,-0.3264880562983592
967.0,93.31,94.5099,92.7,93.13,10455342.0,93.4757,1657080000000,95249,,83.76199999999992,83.8699000000001,81.33139999999996,45.25417159651228,-0.2468935300069148
968.0,92.94,93.95,92.55,93.01,8140093.0,93.0022,1657166400000,73978,,83.81759999999991,83.8549000000001,81.29554999999996,46.27014076214454,-0.1742926105584672
969.0,92.91,93.815,92.41,92.78,7161691.0,93.0642,1657252800000,61782,,83.82359999999991,83.8288000000001,81.26114999999996,39.434766918581424,-0.1086195444907076
