,open,high,low,close,volume,vwap,timestamp,transactions,otc
521,63.69,64.635,63.61,64.33,1876843.0,64.2693,1601006400000,17913,
522,65.55,66.23,65.19,65.52,1986062.0,65.7402,1601265600000,20932,
523,65.74,65.95,64.71,65.16,1424466.0,65.2959,1601352000000,16386,
524,65.62,66.64,65.03,65.57,2721865.0,65.8554,1601438400000,27628,
525,66.23,66.34,64.16,64.63,2352904.0,64.8592,1601524800000,24202,
526,63.38,66.31,63.26,65.54,2131615.0,65.4847,1601611200000,24847,
527,66.5,67.84,66.3064,67.59,2331694.0,67.4673,1601870400000,22669,
528,67.78,69.13,67.17,67.28,2193006.0,67.9727,1601956800000,22886,
529,68.21,69.07,67.87,68.88,1911949.0,68.6564,1602043200000,20246,
530,69.23,69.58,68.7,69.28,1653634.0,69.1981,1602129600000,17560,
531,70.0,71.2,69.905,69.95,3052117.0,70.3184,1602216000000,29170,
532,70.3,70.47,69.21,69.58,2034257.0,69.7536,1602475200000,18971,
533,69.65,69.98,68.45,68.89,1928656.0,69.1249,1602561600000,23020,
534,69.08,70.14,69.08,69.38,1950587.0,69.5881,1602648000000,18883,
535,68.42,69.6,68.314,69.58,2052252.0,69.076,1602734400000,19633,
536,70.0,70.8,69.87,70.28,3002419.0,70.4798,1602820800000,20563,
537,70.33,70.73,69.74,69.96,3246416.0,70.2598,1603080000000,25349,
538,70.39,71.09,69.735,70.0,1921936.0,70.3947,1603166400000,18974,
539,69.39,70.32,69.09,69.21,2590749.0,69.5366,1603252800000,21069,
540,69.57,69.87,69.21,69.76,1584383.0,69.6511,1603339200000,15899,
541,70.48,70.9,69.69,70.02,2072542.0,70.0834,1603425600000,19244,
542,69.18,69.18,67.05,67.73,2539321.0,67.6769,1603684800000,30636,
543,67.57,68.05,66.84,66.92,3148503.0,67.1823,1603771200000,32319,
544,65.22,66.145,64.49,64.99,3371341.0,65.2041,1603857600000,40390,
545,64.53,65.5,64.15,64.44,4539871.0,64.7511,1603944000000,43605,
546,64.41,64.81,63.65,64.79,3934126.0,64.3985,1604030400000,37981,
547,65.9,68.35,65.74,67.96,5237559.0,67.5558,1604293200000,49707,
548,68.2,70.87,68.065,70.4,4757485.0,69.7422,1604379600000,46428,
549,68.67,69.92,66.5,68.15,4132253.0,68.4418,1604466000000,43048,
550,69.86,71.23,69.17,70.47,2753917.0,70.6115,1604552400000,28123,
551,70.56,70.7,69.56,70.12,2408125.0,70.1223,1604638800000,25292,
552,75.0,77.56,75.0,76.29,6829119.0,76.4048,1604898000000,57318,
553,76.56,77.91,75.9701,77.44,3349412.0,77.0402,1604984400000,36502,
554,77.18,77.4,74.78,74.9,3504339.0,75.4003,1605070800000,32760,
555,74.42,74.75,73.4699,74.23,2427372.0,74.0579,1605157200000,24268,
